,target
5/22/2021,223490
5/23/2021,223510
5/24/2021,224110
5/25/2021,224100
5/26/2021,225160
5/27/2021,231470
5/29/2021,234660
5/30/2021,238570
5/31/2021,234060
6/1/2021,234160
6/2/2021,234240
6/3/2021,234330
6/7/2021,235950
6/8/2021,235490
6/9/2021,241440
6/10/2021,239230
6/12/2021,237750
6/13/2021,241030
6/14/2021,239720
6/15/2021,240490
6/16/2021,241750
6/17/2021,244290
6/19/2021,234890
6/20/2021,239600
6/21/2021,240990
6/22/2021,242670
6/23/2021,241790
6/24/2021,241890
6/26/2021,244540
6/27/2021,246770
6/28/2021,247120
6/29/2021,249650
6/30/2021,254000
7/1/2021,251510
7/3/2021,252360
7/4/2021,251510
7/5/2021,249720
7/6/2021,251090
7/7/2021,250860
7/8/2021,250190
7/10/2021,249490
7/11/2021,249990
7/12/2021,249690
7/13/2021,247590
7/14/2021,246040
7/15/2021,246990
7/17/2021,247290
7/18/2021,245290
7/19/2021,244640
7/20/2021,245190
7/22/2021,246280
7/24/2021,247090
7/25/2021,247790
7/26/2021,250490
7/27/2021,251660
7/28/2021,255990
7/31/2021,257290
8/1/2021,254890
8/2/2021,255190
8/3/2021,257290
8/4/2021,256190
8/5/2021,256190
8/7/2021,256380
8/8/2021,256890
8/9/2021,259090
8/10/2021,263340
8/11/2021,266090
8/12/2021,264290
8/14/2021,263190
8/15/2021,268990
8/16/2021,269070
8/17/2021,268990
8/21/2021,272500
8/22/2021,274490
8/23/2021,276590
8/24/2021,276530
8/25/2021,278490
8/26/2021,278990
8/28/2021,282010
8/29/2021,276080
8/30/2021,270640
8/31/2021,274220
9/1/2021,270350
9/2/2021,272910
9/4/2021,270310
9/5/2021,270680
9/6/2021,271210
9/7/2021,273810
9/8/2021,276810
9/9/2021,278270
9/11/2021,277310
9/12/2021,272510
9/13/2021,273110
9/14/2021,276470
9/15/2021,273210
9/16/2021,274460
9/18/2021,273710
9/19/2021,274650
9/20/2021,274430
9/21/2021,274030
9/22/2021,275210
9/23/2021,276810
9/25/2021,275610
9/26/2021,276810
9/28/2021,280710
9/29/2021,282510
9/30/2021,284710
10/2/2021,282010
10/3/2021,280410
10/4/2021,281360
10/6/2021,279320
10/9/2021,275600
10/10/2021,275810
10/11/2021,273330
10/12/2021,270730
10/13/2021,271560
10/14/2021,270870
10/16/2021,272850
10/17/2021,271820
10/18/2021,272640
10/19/2021,274830
10/20/2021,273080
10/21/2021,274150
10/23/2021,276030
10/25/2021,275620
10/26/2021,275770
10/27/2021,276780
10/28/2021,276570
10/30/2021,276140
10/31/2021,275750
11/1/2021,275070
11/2/2021,276010
11/3/2021,278970
11/4/2021,276510
11/6/2021,278240
11/7/2021,279910
11/8/2021,280240
11/9/2021,281060
11/10/2021,283660
11/11/2021,284240
11/13/2021,286400
11/14/2021,285230
11/15/2021,280280
11/16/2021,279930
11/17/2021,279700
11/18/2021,281400
11/20/2021,280770
11/21/2021,282960
11/22/2021,283870
11/23/2021,286010
11/24/2021,291020
11/25/2021,288080
11/27/2021,282100
11/28/2021,273700
11/29/2021,291200
11/30/2021,289070
12/1/2021,266170
12/2/2021,273240
12/4/2021,279750
12/5/2021,278640
12/6/2021,278240
12/7/2021,278130
12/8/2021,277770
12/9/2021,277040
12/11/2021,276950
12/12/2021,276930
12/13/2021,274790
12/14/2021,274140
12/15/2021,274110
12/16/2021,274170
12/18/2021,274420
12/19/2021,274020
12/20/2021,273860
12/21/2021,273010
12/22/2021,274020
12/23/2021,274020
12/25/2021,274020
12/26/2021,273990
12/27/2021,274020
12/28/2021,273880
12/29/2021,274330
12/30/2021,273880
1/1/2022,273950
1/2/2022,273950
1/3/2022,273950
1/4/2022,269900
1/5/2022,269900
1/8/2022,268890
1/9/2022,268310
1/10/2022,267380
1/11/2022,267050
1/12/2022,266670
1/13/2022,277400
1/15/2022,274530
1/16/2022,275080
1/17/2022,272850
1/18/2022,273490
1/19/2022,274760
1/20/2022,275250
1/22/2022,275230
1/23/2022,277640
1/24/2022,279790
1/25/2022,277760
1/26/2022,278610
1/27/2022,277710
1/29/2022,279270
1/30/2022,278880
1/31/2022,276870
2/1/2022,274580
2/2/2022,272550
2/3/2022,272650
2/5/2022,263660
2/6/2022,267610
2/7/2022,264480
2/8/2022,260580
2/9/2022,262340
2/10/2022,262270
2/12/2022,264590
2/13/2022,268640
2/14/2022,269700
2/16/2022,265100
2/17/2022,263290
2/19/2022,260090
2/20/2022,254090
2/21/2022,258040
2/22/2022,260370
2/23/2022,259370
2/24/2022,261440
2/26/2022,260370
2/27/2022,259950
2/28/2022,259650
3/2/2022,255720
3/3/2022,256150
3/5/2022,254300
3/6/2022,253830
3/7/2022,258180
3/8/2022,260410
3/9/2022,257450
3/10/2022,256960
3/12/2022,258980
3/13/2022,264170
3/14/2022,262650
3/15/2022,263620
3/16/2022,263790
3/17/2022,262300
3/26/2022,262340
3/27/2022,262590
3/28/2022,266620
3/29/2022,270250
3/30/2022,270670
3/31/2022,271140
4/3/2022,269020
4/4/2022,269880
4/5/2022,275270
4/6/2022,272670
4/7/2022,274830
4/9/2022,276930
4/10/2022,279090
4/11/2022,279450
4/12/2022,278900
4/13/2022,278050
4/14/2022,277910
4/16/2022,278910
4/17/2022,278970
4/18/2022,276510
4/19/2022,275720
4/20/2022,277350
4/21/2022,278640
4/24/2022,278060
4/25/2022,278410
4/26/2022,279350
4/27/2022,280380
4/28/2022,279500
4/30/2022,279220
5/1/2022,279560
5/2/2022,280210
5/5/2022,280560
5/7/2022,281760
5/8/2022,281030
5/9/2022,282290
5/10/2022,287410
5/11/2022,255800
8/30/2022,297610
8/31/2022,299050
9/1/2022,298470
9/3/2022,299450
9/4/2022,302560
9/5/2022,302170
9/6/2022,302480
9/7/2022,302170
9/8/2022,302410
9/10/2022,303750
9/11/2022,309020
9/12/2022,309760
9/13/2022,316480
9/14/2022,313720
9/15/2022,315560
9/18/2022,315360
9/19/2022,316520
9/20/2022,316820
9/21/2022,317120
9/22/2022,316660
9/24/2022,317010
9/26/2022,316810
9/28/2022,318310
9/29/2022,318480
10/1/2022,331170
10/2/2022,331460
10/3/2022,332460
10/4/2022,331020
10/6/2022,326610
10/8/2022,326190
10/9/2022,323020
10/10/2022,324960
10/11/2022,327520
10/12/2022,326510
10/13/2022,329460
10/15/2022,328020
10/16/2022,331210
10/17/2022,328620
10/18/2022,328390
10/19/2022,327970
10/20/2022,326550
10/22/2022,327660
10/23/2022,328150
10/24/2022,327720
10/25/2022,328760
10/26/2022,328810
10/27/2022,330520
10/29/2022,329150
10/30/2022,329770
10/31/2022,351820
11/9/2022,353890
11/10/2022,350590
11/12/2022,349410
11/13/2022,353520
11/14/2022,352490
11/15/2022,352450
11/16/2022,351450
11/17/2022,347510
11/19/2022,348170
11/20/2022,351600
11/21/2022,352000
11/22/2022,348800
11/23/2022,347990
11/24/2022,352900
11/26/2022,352620
11/27/2022,354700
11/28/2022,358120
11/29/2022,354500
11/30/2022,354500
12/1/2022,356950
12/3/2022,357240
12/4/2022,357500
12/5/2022,358500
12/6/2022,358970
12/7/2022,359300
12/8/2022,358620
12/10/2022,361070
12/11/2022,372000
12/12/2022,375600
12/13/2022,374350
12/14/2022,379300
12/17/2022,386910
12/18/2022,385330
12/19/2022,388320
12/20/2022,384670
12/21/2022,384080
12/22/2022,390500
12/24/2022,395620
12/25/2022,395650
12/26/2022,397210
12/28/2022,403000
12/29/2022,418960
12/31/2022,389000
1/1/2023,393000
1/2/2023,387590
1/3/2023,397530
1/4/2023,391420
1/5/2023,394830
1/7/2023,401440
1/8/2023,402820
1/9/2023,400410
1/10/2023,402000
1/11/2023,404740
1/12/2023,405140
1/14/2023,402650
1/15/2023,401390
1/16/2023,402850
1/17/2023,410390
1/18/2023,423240
1/19/2023,420030
1/21/2023,430030
1/22/2023,444320
1/23/2023,432000
1/24/2023,425000
1/25/2023,420640
1/26/2023,424340
1/28/2023,437130
1/29/2023,438810
1/30/2023,436560
1/31/2023,437290
2/1/2023,436440
2/2/2023,436100
2/5/2023,435570
2/6/2023,435370
2/7/2023,435020
2/8/2023,434500
2/9/2023,434130
2/12/2023,433820
2/13/2023,434130
2/14/2023,434110
2/15/2023,450180
2/16/2023,451120
2/19/2023,452050
2/20/2023,452020
2/21/2023,415600
2/22/2023,415490
2/23/2023,417000
2/25/2023,417590
2/26/2023,426810
2/27/2023,430920
2/28/2023,433370
3/1/2023,438150
3/2/2023,446470
3/4/2023,525000
3/5/2023,501000
3/6/2023,498890
3/7/2023,491350
3/9/2023,486670
3/11/2023,439200
3/12/2023,432200
3/13/2023,448170
3/14/2023,459910
3/15/2023,460460
3/16/2023,456320
3/18/2023,459880
3/19/2023,538000
4/3/2023,515100
4/4/2023,507800
4/5/2023,507950
4/6/2023,507060
4/8/2023,507830
4/9/2023,499900
4/10/2023,503310
4/11/2023,508020
4/13/2023,508980
4/15/2023,508400
4/16/2023,511440
4/17/2023,513050
4/18/2023,517600
4/19/2023,517030
4/20/2023,514050
4/24/2023,517460
4/25/2023,516020
4/26/2023,522010
4/27/2023,532830
4/29/2023,541830
4/30/2023,545930
5/1/2023,550510
5/2/2023,540520
5/3/2023,535240
5/4/2023,536840
5/6/2023,533370
5/7/2023,525430
5/8/2023,534040
5/9/2023,531840
5/10/2023,529510
5/11/2023,530360
5/13/2023,520900
5/14/2023,514070
5/15/2023,520050
5/17/2023,510850
5/18/2023,510980
5/20/2023,513530
5/21/2023,517480
5/22/2023,521360
5/23/2023,520480
5/24/2023,513060
5/25/2023,514320
5/27/2023,517850
5/28/2023,515120
5/29/2023,517170
5/30/2023,512520
5/31/2023,508340
6/1/2023,510890
6/3/2023,510230
6/6/2023,507990
6/7/2023,494390
6/8/2023,490840
6/10/2023,493390
6/11/2023,469830
6/12/2023,481750
6/13/2023,498810
6/14/2023,488550
6/15/2023,488100
6/17/2023,493180
6/18/2023,491980
6/19/2023,486840
6/20/2023,489390
6/21/2023,485730
6/22/2023,497130
6/24/2023,508610
6/25/2023,499400
6/26/2023,497810
6/27/2023,492820
6/28/2023,492230
7/1/2023,498220
7/2/2023,499340
7/3/2023,502000
7/4/2023,500750
7/5/2023,500950
